sample type,classifier,name,feature set,feature set type,n features,accuracy mean,accuracy std,balanced accuracy mean,balanced accuracy std,average precision mean,average precision std,f1 mean,f1 std,precision mean,precision std,recall mean,recall std,performance per feature,stability adjusted score,overall rank,stability rank
daily,Random Forest,RandomForestClassifier hourly activity,hourly activity,manual,24,0.832,0.034,0.827,0.029,0.826,0.082,0.772,0.046,0.745,0.084,0.807,0.028,0.034,0.798,2,1
daily,Random Forest,RandomForestClassifier six hour bins,six hour bins,manual,8,0.822,0.029,0.813,0.034,0.826,0.09,0.755,0.049,0.726,0.051,0.787,0.05,0.102,0.78,7,2
daily,Random Forest,RandomForestClassifier full,full,manual,46,0.833,0.054,0.828,0.054,0.844,0.091,0.773,0.076,0.739,0.097,0.814,0.053,0.018,0.775,1,3
daily,Random Forest,RandomForestClassifier positive permutation,positive permutation,automatic,4,0.825,0.053,0.823,0.051,0.831,0.111,0.767,0.071,0.723,0.089,0.819,0.047,0.206,0.773,4,4
daily,Random Forest,RandomForestClassifier rfecv selected,rfecv selected,automatic,13,0.832,0.049,0.824,0.053,0.833,0.114,0.768,0.077,0.741,0.088,0.797,0.066,0.063,0.771,3,5
daily,Random Forest,RandomForestClassifier all candidates,all candidates,automatic,18,0.821,0.045,0.813,0.049,0.847,0.096,0.754,0.07,0.723,0.078,0.788,0.061,0.045,0.764,8,6
daily,Random Forest,RandomForestClassifier base,base,manual,6,0.823,0.058,0.819,0.058,0.834,0.097,0.762,0.081,0.723,0.1,0.807,0.058,0.137,0.761,5,7
daily,Random Forest,RandomForestClassifier select from model,select from model,automatic,18,0.822,0.056,0.815,0.057,0.831,0.109,0.757,0.079,0.727,0.099,0.791,0.059,0.045,0.758,6,8
daily,Random Forest,RandomForestClassifier activity rhythm,activity rhythm,manual,2,0.647,0.045,0.636,0.047,0.533,0.075,0.54,0.068,0.501,0.061,0.597,0.105,0.318,0.589,9,9
daily,Logistic Regression,LogisticRegression positive permutation,positive permutation,automatic,16,0.815,0.053,0.825,0.052,0.813,0.086,0.764,0.068,0.698,0.082,0.851,0.072,0.052,0.773,2,1
daily,Logistic Regression,LogisticRegression rfecv selected,rfecv selected,automatic,15,0.812,0.054,0.82,0.052,0.816,0.087,0.759,0.068,0.697,0.087,0.839,0.064,0.055,0.768,3,2
daily,Logistic Regression,LogisticRegression full,full,manual,46,0.826,0.068,0.831,0.067,0.807,0.064,0.773,0.087,0.721,0.102,0.842,0.089,0.018,0.764,1,3
daily,Logistic Regression,LogisticRegression all candidates,all candidates,automatic,18,0.807,0.054,0.816,0.052,0.815,0.087,0.754,0.067,0.689,0.085,0.839,0.064,0.045,0.764,4,4
daily,Logistic Regression,LogisticRegression select from model,select from model,automatic,18,0.789,0.067,0.801,0.067,0.793,0.088,0.735,0.081,0.665,0.095,0.832,0.091,0.044,0.734,5,5
daily,Logistic Regression,LogisticRegression base,base,manual,6,0.787,0.061,0.79,0.06,0.751,0.094,0.725,0.072,0.675,0.096,0.79,0.072,0.132,0.73,6,6
daily,Logistic Regression,LogisticRegression six hour bins,six hour bins,manual,8,0.71,0.046,0.719,0.048,0.62,0.109,0.644,0.061,0.569,0.068,0.747,0.066,0.09,0.671,7,7
daily,Logistic Regression,LogisticRegression hourly activity,hourly activity,manual,24,0.655,0.045,0.687,0.051,0.585,0.088,0.618,0.057,0.506,0.049,0.795,0.081,0.029,0.636,8,8
daily,Logistic Regression,LogisticRegression activity rhythm,activity rhythm,manual,2,0.559,0.056,0.583,0.051,0.455,0.08,0.515,0.055,0.424,0.066,0.662,0.052,0.292,0.532,9,9
daily,Decision Tree,DecisionTreeClassifier base,base,manual,6,0.735,0.04,0.736,0.042,0.569,0.053,0.665,0.066,0.604,0.069,0.764,0.144,0.123,0.695,2,1
daily,Decision Tree,DecisionTreeClassifier rfecv selected,rfecv selected,automatic,1,0.752,0.045,0.746,0.052,0.575,0.069,0.672,0.075,0.625,0.075,0.732,0.097,0.746,0.694,1,2
daily,Decision Tree,DecisionTreeClassifier six hour bins,six hour bins,manual,8,0.704,0.045,0.719,0.043,0.534,0.081,0.647,0.064,0.557,0.066,0.777,0.069,0.09,0.676,7,3
daily,Decision Tree,DecisionTreeClassifier all candidates,all candidates,automatic,18,0.72,0.037,0.724,0.053,0.548,0.062,0.649,0.079,0.572,0.055,0.751,0.121,0.04,0.671,3,4
daily,Decision Tree,DecisionTreeClassifier positive permutation,positive permutation,automatic,4,0.72,0.037,0.724,0.053,0.55,0.064,0.649,0.079,0.572,0.055,0.751,0.121,0.181,0.671,3,4
daily,Decision Tree,DecisionTreeClassifier full,full,manual,46,0.725,0.043,0.721,0.05,0.556,0.073,0.644,0.077,0.589,0.077,0.722,0.123,0.016,0.671,5,6
daily,Decision Tree,DecisionTreeClassifier select from model,select from model,automatic,18,0.715,0.04,0.72,0.056,0.543,0.068,0.644,0.084,0.565,0.061,0.751,0.121,0.04,0.664,6,7
daily,Decision Tree,DecisionTreeClassifier hourly activity,hourly activity,manual,24,0.657,0.027,0.686,0.031,0.483,0.044,0.611,0.041,0.511,0.047,0.773,0.091,0.029,0.654,8,8
daily,Decision Tree,DecisionTreeClassifier activity rhythm,activity rhythm,manual,2,0.577,0.084,0.605,0.079,0.41,0.048,0.534,0.076,0.443,0.077,0.69,0.127,0.303,0.526,9,9
