sample type,classifier,feature,cluster,importance,importance std
person,Random Forest,inactive evening,1,0.001,0.038
person,Random Forest,longest inactivity,1,0.0,0.0
person,Random Forest,inactive ratio,1,0.0,0.0
person,Random Forest,inactive morning,1,0.0,0.0
person,Random Forest,inactive night,1,0.0,0.0
person,Random Forest,inactive afternoon,1,0.0,0.0
person,Random Forest,activity morning,2,0.0,0.0
person,Random Forest,activity night,2,0.0,0.0
person,Random Forest,12 hour day activity,2,0.0,0.0
person,Random Forest,mean absolute change activity,2,0.0,0.0
person,Random Forest,RA,2,0.0,0.0
person,Random Forest,sd,2,-0.005,0.085
person,Random Forest,activity evening,2,-0.009,0.019
person,Random Forest,mean,2,-0.009,0.015
person,Random Forest,12 hour night activity,2,-0.013,0.035
person,Random Forest,activity afternoon,2,-0.017,0.037
person,Random Forest,daily mean activity variance,3,0.055,0.053
person,Random Forest,day night ratio,3,0.005,0.011
person,Random Forest,IS,3,0.0,0.0
person,Random Forest,IV,4,0.0,0.0
person,Logistic Regression,inactive afternoon,1,0.011,0.037
person,Logistic Regression,longest inactivity,1,0.007,0.07
person,Logistic Regression,inactive ratio,1,-0.005,0.035
person,Logistic Regression,inactive evening,1,-0.007,0.04
person,Logistic Regression,inactive night,1,-0.007,0.034
person,Logistic Regression,inactive morning,1,-0.018,0.054
person,Logistic Regression,sd,2,0.031,0.039
person,Logistic Regression,activity afternoon,2,0.023,0.024
person,Logistic Regression,RA,2,0.018,0.035
person,Logistic Regression,mean,2,0.017,0.023
person,Logistic Regression,activity evening,2,0.012,0.017
person,Logistic Regression,12 hour night activity,2,0.011,0.028
person,Logistic Regression,activity night,2,0.002,0.043
person,Logistic Regression,12 hour day activity,2,-0.018,0.054
person,Logistic Regression,activity morning,2,-0.018,0.053
person,Logistic Regression,mean absolute change activity,2,-0.022,0.058
person,Logistic Regression,IS,3,0.049,0.121
person,Logistic Regression,daily mean activity variance,3,0.045,0.053
person,Logistic Regression,day night ratio,3,-0.004,0.058
person,Logistic Regression,IV,4,-0.004,0.055
person,Decision Tree,inactive evening,1,0.083,0.117
person,Decision Tree,inactive ratio,1,0.02,0.044
person,Decision Tree,longest inactivity,1,0.0,0.0
person,Decision Tree,inactive morning,1,0.0,0.0
person,Decision Tree,inactive night,1,0.0,0.0
person,Decision Tree,inactive afternoon,1,0.0,0.0
person,Decision Tree,sd,2,0.02,0.057
person,Decision Tree,mean,2,0.0,0.0
person,Decision Tree,activity evening,2,0.0,0.0
person,Decision Tree,activity afternoon,2,0.0,0.0
person,Decision Tree,activity morning,2,0.0,0.0
person,Decision Tree,activity night,2,0.0,0.0
person,Decision Tree,12 hour day activity,2,0.0,0.0
person,Decision Tree,12 hour night activity,2,0.0,0.0
person,Decision Tree,mean absolute change activity,2,0.0,0.0
person,Decision Tree,RA,2,0.0,0.0
person,Decision Tree,daily mean activity variance,3,0.143,0.127
person,Decision Tree,day night ratio,3,0.01,0.022
person,Decision Tree,IS,3,0.0,0.0
person,Decision Tree,IV,4,0.0,0.0
